date,start_id,end_id,amount
2018-11-07,4733960,4693999,884270
2018-11-08,4822737,4767175,935817
2018-11-09,4948406,4925204,1057792
2018-11-10,5217608,5183310,1143609
2018-11-11,5050685,5027225,959828
2018-11-12,4660922,4639164,816136
2018-11-13,4708904,4669831,910459
2018-11-14,4764991,4732599,939521
2018-11-15,4522477,4495734,824653
2018-11-16,4933749,4902986,1036991
2018-11-17,5225969,5208139,1126309
2018-11-18,5037497,4997991,957107
2018-11-19,4720542,4673019,824850
2018-11-20,4736816,4695565,880778
2018-11-21,4853240,4808991,906110
2018-11-22,5259246,5208820,798211
2018-11-23,4817367,4802996,774983
2018-11-24,4966941,4938240,904421
2018-11-25,4864520,4850070,798801
2018-11-26,4660008,4641763,885289
2018-11-27,4672371,4650529,879349
2018-11-28,4745277,4718011,903506
2018-11-29,4780075,4764500,949110
2018-11-30,5023428,4979563,1054124
2018-12-01,5214678,5189602,1154167
2018-12-02,5010416,4995889,996170
2018-12-03,4719859,4676085,847119
2018-12-04,4704488,4671884,901233
2018-12-05,4784843,4748384,940980
2018-12-06,4877716,4837847,985560
2018-12-07,5048844,5005289,1086441
2018-12-08,5252956,5220940,1170001
2018-12-09,5022542,5002796,974943
2018-12-10,4720545,4688869,874463
2018-12-11,4777257,4745286,916227
2018-12-12,4848193,4810616,953694
2018-12-13,4943361,4896844,1011240
2018-12-14,5117175,5090122,1108935
2018-12-15,5305283,5270302,1163445
2018-12-16,5097357,5077432,1106673
2018-12-17,4727283,4702062,870731
2018-12-18,4780446,4744219,943739
2018-12-19,4849733,4797831,948736
2018-12-20,4919224,4869906,1007940
2018-12-21,5059409,5020560,1033298
2018-12-22,5110651,5094493,942148
2018-12-23,4947994,4898263,781875
2018-12-24,4930077,4883628,734927
2018-12-25,4895004,4867476,581576
2018-12-26,4563129,4557069,643679
2018-12-27,4701731,4673768,719433
2018-12-28,4847009,4819855,841416
2018-12-29,4963576,4945014,843033
2018-12-30,4898837,4862884,789091
2018-12-31,5055988,5019275,964079
